dense,moe,thick,reinf_ring,hoop,drumhead,tune_att,tune_res,RMS,Spectral Flatness,ZCR,Spectral Kurtosis,Spectral Entropy,Spectral Slope,Inharmonicity,Effective Duration,name_file,wood,f0,hoop_top_thickness_mm,hoop_material_density_kg_m3,hoop_effective_thickness_mm,batter_film_total_mil,batter_control_ring_mil,batter_effective_total_mil,batter_is_coated_proxy,batter_dry_vents_proxy,batter_damping_proxy,config_id,wood_acoustic_velocity_m_s,wood_acoustic_impedance_rayl
530,9.31647,5.5,False,STEEL,SIMPLE,60,60,1.1486045785348775,-0.2840157803062918,-0.1437238355037585,1.0684687093340954,0.7211812763324706,1.2391397200020722,-0.6249417836417351,0.839285714285714,0049.wav,teca,113.077,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,70,60,0.8276827078354002,-0.0406717236080765,0.040380417062577,0.5694168706499884,0.4581862734401913,0.6694410534053182,-0.2882454861355125,0.089285714285714,0050.wav,teca,126.0,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,80,60,1.1121966547490574,0.5458446278438469,0.6990508514016711,0.3139083474824853,0.3732642712169626,-0.0033082101969774,0.1118743066932804,-0.1964285714285714,0051.wav,teca,146.026,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,85,60,0.0597980626446921,-0.0077421818929042,-0.0452851256459527,-0.2145842930624278,-0.3232231962002263,-0.2734650538728377,0.7099668347213952,-0.5178571428571428,0052.wav,teca,164.552,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,85,70,-0.4529882267116503,0.2762458592212594,0.3996309292474591,-0.3400253582164989,-0.0992689262023802,-0.5244087034902822,0.5892901812854222,0.089285714285714,0053.wav,teca,169.615,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,85,80,-0.3801876010108339,0.4455889461746549,0.3725765639170208,-0.2919968588925844,-0.4033304453675111,-0.401055664563168,0.9954770446892216,-0.2321428571428572,0054.wav,teca,193.421,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,85,85,-0.0291803439209121,0.6861215490657115,0.4335093153836753,-0.2363012222053997,-0.1241751826018206,-0.4699485292108865,0.5832607741685435,-0.6607142857142857,0055.wav,teca,212.019,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,80,85,-0.4417021119403309,-0.300214428289399,-0.3469905445913141,-0.3368456317314848,-0.5012735290270263,-0.6167311738683695,0.5314285098140636,-0.4107142857142857,0056.wav,teca,198.649,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,70,85,-0.0766495659130735,-0.3000603024031372,-0.4885344093988575,0.0711685358632243,-0.8262771484780275,0.0313736890079806,-0.0839123872004135,0.232142857142857,0057.wav,teca,212.019,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
530,9.31647,5.5,False,STEEL,SIMPLE,60,85,0.116017829420892,-0.0640982515250379,0.2055025995947617,0.4323301389126061,1.5760161780250397,1.4306683589223383,0.0781615896121835,2.303571428571428,0058.wav,teca,180.738,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,0,132.5829750873726,70268.97679630748
