name_file,wood,thick,f0,tension_att,tension_res,anel_ref,drumskin_att,drumskin_res,hoop,recorded
0195.wav,teca,"5,5",0,80,60,True,SIMPLE,SIMPLE,ALUMINUM,False
0196.wav,teca,"5,5",0,85,60,True,SIMPLE,SIMPLE,ALUMINUM,False
0197.wav,teca,"5,5",0,85,70,True,SIMPLE,SIMPLE,ALUMINUM,False
0198.wav,teca,"5,5",0,85,80,True,SIMPLE,SIMPLE,ALUMINUM,False
0199.wav,teca,"5,5",0,85,85,True,SIMPLE,SIMPLE,ALUMINUM,False
0200.wav,teca,"5,5",0,80,85,True,SIMPLE,SIMPLE,ALUMINUM,False
0201.wav,teca,"5,5",0,70,85,True,SIMPLE,SIMPLE,ALUMINUM,False
0202.wav,teca,"5,5",0,60,85,True,SIMPLE,SIMPLE,ALUMINUM,False
0203.wav,teca,"5,5",0,60,80,True,SIMPLE,SIMPLE,ALUMINUM,False
0204.wav,teca,"5,5",0,60,70,True,SIMPLE,SIMPLE,ALUMINUM,False
0205.wav,teca,"5,5",0,70,70,True,SIMPLE,SIMPLE,ALUMINUM,False
0206.wav,teca,"5,5",0,70,80,True,SIMPLE,SIMPLE,ALUMINUM,False
0207.wav,teca,"5,5",0,80,80,True,SIMPLE,SIMPLE,ALUMINUM,False
0208.wav,teca,"5,5",0,80,70,True,SIMPLE,SIMPLE,ALUMINUM,False
0209.wav,teca,"5,5",0,60,60,False,SIMPLE,SIMPLE,ALUMINUM,False
0210.wav,teca,"5,5",0,70,60,False,SIMPLE,SIMPLE,ALUMINUM,False
0211.wav,teca,"5,5",0,80,60,False,SIMPLE,SIMPLE,ALUMINUM,False
0212.wav,teca,"5,5",0,85,60,False,SIMPLE,SIMPLE,ALUMINUM,False
0213.wav,teca,"5,5",0,85,70,False,SIMPLE,SIMPLE,ALUMINUM,False
0214.wav,teca,"5,5",0,85,80,False,SIMPLE,SIMPLE,ALUMINUM,False
0215.wav,teca,"5,5",0,85,85,False,SIMPLE,SIMPLE,ALUMINUM,False
0216.wav,teca,"5,5",0,80,85,False,SIMPLE,SIMPLE,ALUMINUM,False
0217.wav,teca,"5,5",0,70,85,False,SIMPLE,SIMPLE,ALUMINUM,False
0218.wav,teca,"5,5",0,60,85,False,SIMPLE,SIMPLE,ALUMINUM,False
0219.wav,teca,"5,5",0,60,80,False,SIMPLE,SIMPLE,ALUMINUM,False
0220.wav,teca,"5,5",0,60,70,False,SIMPLE,SIMPLE,ALUMINUM,False
0221.wav,teca,"5,5",0,70,70,False,SIMPLE,SIMPLE,ALUMINUM,False
0222.wav,teca,"5,5",0,70,80,False,SIMPLE,SIMPLE,ALUMINUM,False
0223.wav,teca,"5,5",0,80,80,False,SIMPLE,SIMPLE,ALUMINUM,False
0224.wav,teca,"5,5",0,80,70,False,SIMPLE,SIMPLE,ALUMINUM,False
0225.wav,teca,"8,5",0,60,60,False,SIMPLE,SIMPLE,ALUMINUM,False
0226.wav,teca,"8,5",0,70,60,False,SIMPLE,SIMPLE,ALUMINUM,False
0227.wav,teca,"8,5",0,80,60,False,SIMPLE,SIMPLE,ALUMINUM,False
0228.wav,teca,"8,5",0,85,60,False,SIMPLE,SIMPLE,ALUMINUM,False
0229.wav,teca,"8,5",0,85,70,False,SIMPLE,SIMPLE,ALUMINUM,False
0230.wav,teca,"8,5",0,85,80,False,SIMPLE,SIMPLE,ALUMINUM,False
0231.wav,teca,"8,5",0,85,85,False,SIMPLE,SIMPLE,ALUMINUM,False
0232.wav,teca,"8,5",0,80,85,False,SIMPLE,SIMPLE,ALUMINUM,False
0233.wav,teca,"8,5",0,70,85,False,SIMPLE,SIMPLE,ALUMINUM,False
0234.wav,teca,"8,5",0,60,85,False,SIMPLE,SIMPLE,ALUMINUM,False
0235.wav,teca,"8,5",0,60,80,False,SIMPLE,SIMPLE,ALUMINUM,False
0236.wav,teca,"8,5",0,60,70,False,SIMPLE,SIMPLE,ALUMINUM,False
0237.wav,teca,"8,5",0,70,70,False,SIMPLE,SIMPLE,ALUMINUM,False
0238.wav,teca,"8,5",0,70,80,False,SIMPLE,SIMPLE,ALUMINUM,False
0239.wav,teca,"8,5",0,80,80,False,SIMPLE,SIMPLE,ALUMINUM,False
0240.wav,teca,"8,5",0,80,70,False,SIMPLE,SIMPLE,ALUMINUM,False
0241.wav,copaiba,"5,5","120,492",60,60,True,COATED,SIMPLE,ALUMINUM,True
0242.wav,copaiba,"5,5","133,636",70,60,True,COATED,SIMPLE,ALUMINUM,True
0243.wav,copaiba,"5,5","147,987",80,60,True,COATED,SIMPLE,ALUMINUM,True
0244.wav,copaiba,"5,5","146,026",85,60,True,COATED,SIMPLE,ALUMINUM,True
0245.wav,copaiba,"5,5","168,321",85,70,True,COATED,SIMPLE,ALUMINUM,True
0246.wav,copaiba,"5,5","200,455",85,80,True,COATED,SIMPLE,ALUMINUM,True
0247.wav,copaiba,"5,5","220,5",85,85,True,COATED,SIMPLE,ALUMINUM,True
0248.wav,copaiba,"5,5","195,133",80,85,True,COATED,SIMPLE,ALUMINUM,True
0249.wav,copaiba,"5,5","176,4",70,85,True,COATED,SIMPLE,ALUMINUM,True
0250.wav,copaiba,"5,5","191,739",60,85,True,COATED,SIMPLE,ALUMINUM,True
0251.wav,copaiba,"5,5",147,60,80,True,COATED,SIMPLE,ALUMINUM,True
0252.wav,copaiba,"5,5","129,706",60,70,True,COATED,SIMPLE,ALUMINUM,True
0253.wav,copaiba,"5,5","148,986",70,70,True,COATED,SIMPLE,ALUMINUM,True
0254.wav,copaiba,"5,5","158,633",70,80,True,COATED,SIMPLE,ALUMINUM,True
0255.wav,copaiba,"5,5","190,086",80,80,True,COATED,SIMPLE,ALUMINUM,True
0256.wav,copaiba,"5,5","168,321",80,70,True,COATED,SIMPLE,ALUMINUM,True
0257.wav,araucaria,"5,5","117,287",60,60,True,COATED,SIMPLE,ALUMINUM,True
0258.wav,araucaria,"5,5","130,473",70,60,True,COATED,SIMPLE,ALUMINUM,True
0259.wav,araucaria,"5,5","144,118",80,60,True,COATED,SIMPLE,ALUMINUM,True
0260.wav,araucaria,"5,5","146,026",85,60,True,COATED,SIMPLE,ALUMINUM,True
0261.wav,araucaria,"5,5","169,615",85,70,True,COATED,SIMPLE,ALUMINUM,True
0262.wav,araucaria,"5,5","193,421",85,80,True,COATED,SIMPLE,ALUMINUM,True
0263.wav,araucaria,"5,5","222,727",85,85,True,COATED,SIMPLE,ALUMINUM,True
0264.wav,araucaria,"5,5","204,167",80,85,True,COATED,SIMPLE,ALUMINUM,True
0265.wav,araucaria,"5,5","204,167",70,85,True,COATED,SIMPLE,ALUMINUM,True
0266.wav,araucaria,"5,5","173,622",60,85,True,COATED,SIMPLE,ALUMINUM,True
0267.wav,araucaria,"5,5","159,783",60,80,True,COATED,SIMPLE,ALUMINUM,True
0268.wav,araucaria,"5,5","137,812",60,70,True,COATED,SIMPLE,ALUMINUM,True
0269.wav,araucaria,"5,5","131,25",70,70,True,COATED,SIMPLE,ALUMINUM,True
0270.wav,araucaria,"5,5","159,783",70,80,True,COATED,SIMPLE,ALUMINUM,True
0271.wav,araucaria,"5,5","182,231",80,80,True,COATED,SIMPLE,ALUMINUM,True
0272.wav,araucaria,"5,5","162,132",80,70,True,COATED,SIMPLE,ALUMINUM,True
0273.wav,teca,"5,5",0,60,60,True,COATED,SIMPLE,ALUMINUM,False
0274.wav,teca,"5,5",0,70,60,True,COATED,SIMPLE,ALUMINUM,False
0275.wav,teca,"5,5",0,80,60,True,COATED,SIMPLE,ALUMINUM,False
0276.wav,teca,"5,5",0,85,60,True,COATED,SIMPLE,ALUMINUM,False
0277.wav,teca,"5,5",0,85,70,True,COATED,SIMPLE,ALUMINUM,False
0278.wav,teca,"5,5",0,85,80,True,COATED,SIMPLE,ALUMINUM,False
0279.wav,teca,"5,5",0,85,85,True,COATED,SIMPLE,ALUMINUM,False
0280.wav,teca,"5,5",0,80,85,True,COATED,SIMPLE,ALUMINUM,False
0281.wav,teca,"5,5",0,70,85,True,COATED,SIMPLE,ALUMINUM,False
0282.wav,teca,"5,5",0,60,85,True,COATED,SIMPLE,ALUMINUM,False
0283.wav,teca,"5,5",0,60,80,True,COATED,SIMPLE,ALUMINUM,False
0284.wav,teca,"5,5",0,60,70,True,COATED,SIMPLE,ALUMINUM,False
0285.wav,teca,"5,5",0,70,70,True,COATED,SIMPLE,ALUMINUM,False
0286.wav,teca,"5,5",0,70,80,True,COATED,SIMPLE,ALUMINUM,False
0287.wav,teca,"5,5",0,80,80,True,COATED,SIMPLE,ALUMINUM,False
0288.wav,teca,"5,5",0,80,70,True,COATED,SIMPLE,ALUMINUM,False
0289.wav,teca,"5,5",0,60,60,False,COATED,SIMPLE,ALUMINUM,False
0290.wav,teca,"5,5",0,70,60,False,COATED,SIMPLE,ALUMINUM,False
0291.wav,teca,"5,5",0,80,60,False,COATED,SIMPLE,ALUMINUM,False
0292.wav,teca,"5,5",0,85,60,False,COATED,SIMPLE,ALUMINUM,False
0293.wav,teca,"5,5",0,85,70,False,COATED,SIMPLE,ALUMINUM,False
0294.wav,teca,"5,5",0,85,80,False,COATED,SIMPLE,ALUMINUM,False
0295.wav,teca,"5,5",0,85,85,False,COATED,SIMPLE,ALUMINUM,False
0296.wav,teca,"5,5",0,80,85,False,COATED,SIMPLE,ALUMINUM,False
0297.wav,teca,"5,5",0,70,85,False,COATED,SIMPLE,ALUMINUM,False
0298.wav,teca,"5,5",0,60,85,False,COATED,SIMPLE,ALUMINUM,False
0299.wav,teca,"5,5",0,60,80,False,COATED,SIMPLE,ALUMINUM,False
0300.wav,teca,"5,5",0,60,70,False,COATED,SIMPLE,ALUMINUM,False
0301.wav,teca,"5,5",0,70,70,False,COATED,SIMPLE,ALUMINUM,False
0302.wav,teca,"5,5",0,70,80,False,COATED,SIMPLE,ALUMINUM,False
0303.wav,teca,"5,5",0,80,80,False,COATED,SIMPLE,ALUMINUM,False
0304.wav,teca,"5,5",0,80,70,False,COATED,SIMPLE,ALUMINUM,False
0305.wav,teca,"8,5",0,60,60,False,COATED,SIMPLE,ALUMINUM,False
0306.wav,teca,"8,5",0,70,60,False,COATED,SIMPLE,ALUMINUM,False
0307.wav,teca,"8,5",0,80,60,False,COATED,SIMPLE,ALUMINUM,False
